Abbrüche	-1
Abenteuer	2
Abfall	-1
Ablauf	-1
Ablehnung	-1
Ablehnungen	-2
Ablenkung	-2
Ablösung	2
Abmahnungen	-2
Abneigungen	-2
Absacken	-1
Abschaum	-3
Abscheu	-3
Abstrich	-2
Abstumpfung	-2
Absturz	-2
Abwehr	-1
Abwesende	-1
Abwürgen	-2
Ach	-1
Achtung	-2
Aggression	-2
Aggressionen	-2
Aggressivität	-2
Akkolade	2
Aktie	1
Aktien	1
Alarm	-2
Alarmisten	-2
Amüsement	3
Analphabetentum	-2
Anbetung	3
Andachts	2
Anerkennung	2
Anfechtung	-2
Anfänger	-2
Angeklagte	-2
Angelegenheit	1
Angelegenheiten	1
Angriff	-2
Angriffe	-2
Angst	-2
Anklage	-2
Anklagen	-3
Anmut	1
Annahme	1
Annehmen	1
Anpreisung	-2
Anschläge	-1
Ansehen	3
Ansteckung	-2
Ansteckungen	-2
Ansturm	-2
Anti	-1
Anwärter	-1
Anziehen	2
Apathie	-3
Arbeitslosigkeit	-2
Arm	-2
Armut	-1
Arsch	-4
Arschloch	-4
Art	2
Attacke	-1
Attentate	-3
Attraktion	2
Attraktivität	2
Aufhalten	-2
Auflösung	1
Aufregung	3
Aufrichtigkeit	2
Aufruhr	-2
Aufschiebung	-1
Aufschrei der Empörung	-2
Aufsicht	-1
Auftrieb	1
Aura	1
Ausbruch	-2
Ausbrüche	-2
Ausdauer	2
Ausfall	-2
Ausfälle	-2
Ausgezeichnet	3
Aushöhlung	-2
Ausrede	-1
Ausschlag	-2
Ausschluss	-1
Ausschreitungen	-2
Ausschuss	-1
Aussetzen	-1
Aussicht	1
Austreiben	-2
Ausweichen	-2
Auswirkung	-2
Auswirkungen	-2
Auszeichnung	2
Auszeichnungen	3
Autsch	-2
Axt	-1
Bailout	-2
Bamboozles	-2
Bangemacher	-2
Bankster	-3
Barbar	-2
Barmherzigkeit	2
Barriere	-2
Bastard	-5
Bastarde	-5
Bedauern	-2
Bedauern darüber,	-2
Bedenken	-2
Bedeutung	2
Bedrohung	-2
Bedrohungen	-2
Bedrängnissen	-2
Bedrängung	-3
Bedürftige	-2
Beeindruckend	4
Beeinträchtigung	-2
Beerdigung	-1
Beerdigungen	-1
Befragung	-1
Befreiung	2
Befriedigung	2
Begeisterung	3
Begnadigung	2
Begnadigungen	2
Behauptung	-2
Behauptungen	-2
Behinderung	-2
Behinderungen	-2
Behörde	1
Beifall	2
Belastung	-2
Belastungen	-2
Beleidigung	-2
Beleidigungen	-2
Beliebt	3
Belohnung	2
Belohnungen	2
Belästigung	-3
Bereitschaft	2
Beschränkung	-2
Beschwerde	-2
Beschwerden	-2
Beschädigung	-3
Bestechung	-3
Bestrafung	-2
Bestürzung	-2
Betroffene	-2
Betrug	-2
Betrügerei	-2
Betrügern	-4
Betrügers	-4
Billigung	2
Bitte	1
Blindgänger	-2
Block	-1
Blockade	-2
Blockierung	-1
Blöcke	-1
Blödmann	-3
Bohrloch	-2
Bombe	-1
Boosts	1
Boykott	-2
Boykotte	-2
Bravour	3
Brennen	-2
Brillanz	3
Bruch	-2
Brüskierung	-2
Bullshit	-4
Bully	-2
Bußgelder	-2
Cancelling	-1
Champion	2
Chance	2
Chancen	2
Chaos	-2
Charisma	2
Charme	3
Cheater	-3
Cheats	-3
Choke	-2
Chokes	-2
Clears	1
Comic	1
Crowding	-1
Deadlock	-2
Defekt	-3
Defizit	-2
Deformität	-2
Deformitäten	-2
Delikt	-2
Delle	-2
Dementis	-2
Demonstranten	-2
Demonstration	-1
Denier	-2
Deponien	-1
Deportation	-2
Deportationen	-2
Diamant	1
Die falsche	-2
Dilemma	-1
Dilligence	2
Dithering	-2
Downer	-2
Drangsal	-2
Draufgänger	2
Druck	-1
Duchten	-2
Dummheit	-3
Dummkopf	-2
Dunkelheit	-1
Durchbruch	3
Dusche	-3
Düsternis	-1
ENTZÜCKEND	3
Ehre	2
Eiferer	-2
Eifersucht	-2
